Task ID,Task Name,Linear Issue,Linear URL,Start Date,End Date,Duration (Days),Phase,Owner/Team,Milestone,Dependencies,Status,Completion %,Key Deliverables
6.9,Avinode 3-Party Chat System,ONEK-116,https://linear.app/designthru-ai/issue/ONEK-116,2025-12-08,2025-12-13,5,Advanced Development,Full Stack Team,No,6.8,Done,100%,Database foundation for operator messaging
6.10,Multi-City Trips & Empty Legs,ONEK-144,https://linear.app/designthru-ai/issue/ONEK-144,2026-01-01,2026-02-08,38,Advanced Development,Backend Team,No,6.9,Done,100%,"Multi-segment trips, round-trip support, empty leg subscriptions"
6.11,Round-Trip Proposals,ONEK-174,https://linear.app/designthru-ai/issue/ONEK-174,2026-02-01,2026-02-07,6,Advanced Development,Full Stack Team,No,6.10,Done,100%,"Both outbound + return legs in proposals, PDF generation"
6.12,Configurable Service Charge,ONEK-177,https://linear.app/designthru-ai/issue/ONEK-177,2026-02-03,2026-02-08,5,Advanced Development,Full Stack Team,No,6.11,Done,100%,"Service charge %, margin presets, hidden from client PDF"
6.13,Email Preview Before Send,ONEK-178,https://linear.app/designthru-ai/issue/ONEK-178,2026-02-04,2026-02-07,3,Advanced Development,Frontend Team,No,6.12,Done,100%,Preview proposal + email with margin slider before sending
6.14,Working Memory for Entity Retention,ONEK-184,https://linear.app/designthru-ai/issue/ONEK-184,2026-02-05,2026-02-08,3,Advanced Development,Backend Team,No,6.8,Done,100%,Cross-turn trip and entity retention in chat
6.15,End-to-End Workflow Testing,,,2025-11-08,2026-02-08,92,Advanced Development,QA Team,No,6.14,Done,100%,Complete RFP flow validation including webhook E2E tests
6.16,Avinode API Live Integration Test,ONEK-30,https://linear.app/designthru-ai/issue/ONEK-30,2025-12-13,2025-12-13,1,Advanced Development,Integration Team,No,6.15,Done,100%,"Trip creation, RFQ fetch, quote retrieval verified with sandbox API"
7,PHASE 3 MILESTONE: COMPLETE AI SYSTEM LIVE,,,2026-02-08,2026-02-08,1,Advanced Development,Project Manager,Yes,6.16,Done,100%,All agents working + Full automation + Round-trip + Service charges
8,PHASE 4: UNIFIED CHAT INTERFACE,ONEK-92,https://linear.app/designthru-ai/issue/ONEK-92,2025-11-10,2026-02-08,90,Frontend Development,Frontend Team,Yes,7,Done,100%,Unified conversational chat interface
8.1,Message Component System,ONEK-93,https://linear.app/designthru-ai/issue/ONEK-93,2025-11-12,2026-01-10,59,Frontend Development,Frontend Team,No,7,Done,100%,Rich message component system
8.2,Enhanced Conversation Starters,ONEK-155,https://linear.app/designthru-ai/issue/ONEK-155,2026-01-05,2026-01-12,7,Frontend Development,Frontend Team,No,8.1,Done,100%,"Smart starters hub, starter cards, useSmartStarters hook"
8.3,Conversational RFP Flow,ONEK-95,https://linear.app/designthru-ai/issue/ONEK-95,2025-11-12,2026-01-10,59,Frontend Development,Frontend Team,No,8.1,Done,100%,Progressive disclosure RFP gathering
8.4,Proposal-to-Contract Workflow,ONEK-177,https://linear.app/designthru-ai/issue/ONEK-177,2026-02-03,2026-02-08,5,Frontend Development,Full Stack Team,No,8.3,Done,100%,"Email preview, margin cards, persistent UI cards"
8.5,Tool UI Registry,ONEK-206,https://linear.app/designthru-ai/issue/ONEK-206,2026-02-07,2026-02-08,1,Frontend Development,Frontend Team,No,8.4,Done,100%,MCP-inspired declarative tool rendering system
8.6,Orchestrator Agent Updates,ONEK-98,https://linear.app/designthru-ai/issue/ONEK-98,2025-11-12,2025-11-14,3,Frontend Development,Backend Team,No,8.1,Done,100%,Conversational interaction support
8.7,Production Environment Setup,ONEK-14,https://linear.app/designthru-ai/issue/ONEK-14,2025-12-20,2026-02-06,48,Deployment,DevOps Team,No,8.6,Done,100%,Production environment configuration
8.8,Sentry Integration & Monitoring,ONEK-17,https://linear.app/designthru-ai/issue/ONEK-17,2025-12-20,2026-01-10,21,Deployment,DevOps Team,No,8.7,Done,100%,Error tracking and monitoring dashboards
9,PHASE 4 MILESTONE: UNIFIED CHAT INTERFACE COMPLETE,,,2026-02-08,2026-02-08,1,Frontend Development,Project Manager,Yes,8.5,Done,100%,Single chat interface operational with full proposal workflow
10,PHASE 5: QUALITY ASSURANCE & OPTIMIZATION,,,2025-11-17,2026-02-08,83,Testing & QA,QA Team,Yes,9,In Progress,85%,Production-ready quality
10.1,Mobile Responsiveness,ONEK-104,https://linear.app/designthru-ai/issue/ONEK-104,2025-11-20,2026-02-08,80,Testing & QA,Frontend Team,No,9,Done,100%,"ResponsiveModal migrations, tablet sidebar overlay, typography"
10.2,Accessibility Implementation,ONEK-8,https://linear.app/designthru-ai/issue/ONEK-8,2025-11-22,2025-12-26,34,Testing & QA,QA Team,No,10.1,Done,100%,ARIA labels and keyboard navigation
10.3,Performance Optimization,ONEK-204,https://linear.app/designthru-ai/issue/ONEK-204,2026-02-07,2026-02-08,1,Testing & QA,Backend Team,No,10.2,Done,100%,"Lazy-load session messages, React.memo for flight cards"
10.4,Unit Test Stabilization,ONEK-189,https://linear.app/designthru-ai/issue/ONEK-189,2026-02-04,2026-02-06,2,Testing & QA,QA Team,No,10.3,Done,100%,Fixed 7 failing unit test files with stale Supabase mocks
10.5,CI/CD Pipeline,ONEK-16,https://linear.app/designthru-ai/issue/ONEK-16,2025-12-22,2025-12-26,4,Testing & QA,DevOps Team,No,10.4,Done,100%,GitHub Actions workflows + memory-limited test runs
10.6,E2E Chat Testing,ONEK-103,https://linear.app/designthru-ai/issue/ONEK-103,2026-02-01,2026-02-08,7,Testing & QA,QA Team,No,10.5,In Progress,70%,Comprehensive E2E tests for chat workflows
10.7,Test Coverage to 75%,ONEK-90,https://linear.app/designthru-ai/issue/ONEK-90,2025-11-28,2026-02-08,72,Testing & QA,QA Team,No,10.6,In Progress,65%,"Target 75% coverage, currently improving"
10.8,Performance Optimization Bundle,ONEK-91,https://linear.app/designthru-ai/issue/ONEK-91,2026-02-10,2026-02-14,5,Testing & QA,DevOps Team,No,10.7,Backlog,0%,Next.js build and bundle size optimization
10.9,Documentation Update,ONEK-114,https://linear.app/designthru-ai/issue/ONEK-114,2026-02-14,2026-02-17,3,Testing & QA,Documentation Team,No,10.8,Backlog,0%,Update all docs for unified chat
11,PHASE 5 MILESTONE: PRODUCTION-READY QUALITY,,,2026-02-17,2026-02-17,1,Testing & QA,Project Manager,Yes,10.9,In Progress,85%,Performance optimized + Security validated
12,PHASE 6: UI MIGRATION & POLISH,,,2026-02-17,2026-02-21,5,UI Migration,Frontend Team,Yes,11,Backlog,20%,"Chat-only routing, navigation cleanup"
12.1,Archive Dashboard Pages,ONEK-100,https://linear.app/designthru-ai/issue/ONEK-100,2026-02-17,2026-02-18,2,UI Migration,Frontend Team,No,11,Backlog,0%,Move legacy dashboard to archived folder
12.2,Routing Updates,ONEK-101,https://linear.app/designthru-ai/issue/ONEK-101,2026-02-18,2026-02-19,2,UI Migration,Frontend Team,No,12.1,Backlog,0%,Redirect all routes to /chat
12.3,Navigation Removal,ONEK-102,https://linear.app/designthru-ai/issue/ONEK-102,2026-02-19,2026-02-20,2,UI Migration,Frontend Team,No,12.2,Backlog,0%,Simplify navigation for chat-only UI
13,PHASE 6 MILESTONE: UI MIGRATION COMPLETE,,,2026-02-21,2026-02-21,1,UI Migration,Project Manager,Yes,12.3,Backlog,0%,Chat-only interface deployed
14,PHASE 7: PRODUCTION DEPLOYMENT PREP,,,2026-02-21,2026-02-28,7,Deployment,DevOps Team,Yes,13,Backlog,10%,Launch-ready infrastructure
14.1,Monitoring & Alerting Setup,,,2026-02-21,2026-02-22,2,Deployment,DevOps Team,No,13,Done,100%,Sentry error tracking and dashboards (via ONEK-17)
14.2,CI/CD Pipeline Configuration,,,2026-02-22,2026-02-23,2,Deployment,DevOps Team,No,14.1,Done,100%,Automated deployment workflows (via ONEK-16)
14.3,Staging Environment Deployment,,,2026-02-23,2026-02-24,2,Deployment,DevOps Team,No,14.2,In Progress,70%,"Vercel deployment active, Supabase migrations applied"
14.4,User Acceptance Testing (UAT),,,2026-02-24,2026-02-26,3,Deployment,Business Team,No,14.3,Backlog,0%,Stakeholder validation on staging
14.5,Production Deployment Preparation,,,2026-02-26,2026-02-27,2,Deployment,DevOps Team,No,14.4,Backlog,0%,Final environment configuration
14.6,Pre-Launch Checklist & Validation,,,2026-02-27,2026-02-28,2,Deployment,All Teams,No,14.5,Backlog,0%,Go/no-go decision gate
15,PHASE 7 MILESTONE: READY FOR LAUNCH,,,2026-02-28,2026-02-28,1,Deployment,Project Manager,Yes,14.6,Backlog,0%,Monitoring live + UAT passed
16,PHASE 8: PRODUCTION LAUNCH,,,2026-03-02,2026-03-07,5,Launch,All Teams,Yes,15,Backlog,0%,System live in production
16.1,Production Deployment,,,2026-03-02,2026-03-02,1,Launch,DevOps Team,No,15,Backlog,0%,Go-live to production environment
16.2,Launch Day Monitoring,,,2026-03-02,2026-03-02,1,Launch,All Teams,No,16.1,Backlog,0%,24/7 team coverage
16.3,Early User Onboarding,,,2026-03-03,2026-03-05,3,Launch,Support Team,No,16.2,Backlog,0%,Pilot user group activation
16.4,Performance Monitoring & Tuning,,,2026-03-03,2026-03-07,5,Launch,DevOps Team,No,16.2,Backlog,0%,Real-world optimization
16.5,User Feedback Collection,,,2026-03-05,2026-03-07,3,Launch,Product Team,No,16.3,Backlog,0%,Gather early user insights
16.6,Issue Triage & Hot Fixes,,,2026-03-02,2026-03-07,5,Launch,Development Team,No,16.1,Backlog,0%,Rapid response to production issues
17,PROJECT MILESTONE: PRODUCTION LAUNCH COMPLETE,,,2026-03-07,2026-03-07,1,Launch,Project Manager,Yes,"16.4,16.5,16.6",Backlog,0%,System live + Users onboarded + Stable operation
18,POST-LAUNCH SUPPORT & ITERATION,,,2026-03-08,2026-03-14,7,Post-Launch,All Teams,No,17,Backlog,0%,Continuous improvement
18.1,Week 1 Performance Review,,,2026-03-08,2026-03-14,7,Post-Launch,All Teams,No,17,Backlog,0%,Metrics analysis and optimization
18.2,Feature Enhancement Planning,,,2026-03-08,2026-03-14,7,Post-Launch,Product Team,No,17,Backlog,0%,Roadmap for future iterations
19,PROJECT COMPLETION & HANDOFF,,,2026-03-14,2026-03-14,1,Closure,Project Manager,Yes,"18.1,18.2",Backlog,0%,Handoff to operations team
BACKLOG.1,Agent Tools & Helper Functions,ONEK-32,https://linear.app/designthru-ai/issue/ONEK-32,,,Ongoing,Backlog,Development Team,No,,Backlog,0%,Additional agent tool implementations
BACKLOG.2,Frontend for Empty Leg Watch,ONEK-202,https://linear.app/designthru-ai/issue/ONEK-202,,,5,Backlog,Frontend Team,No,,Backlog,0%,UI for empty leg watch feature
BACKLOG.3,Users API 403 Fix,ONEK-203,https://linear.app/designthru-ai/issue/ONEK-203,,,1,Backlog,Backend Team,No,,Backlog,0%,Fix /api/users/me endpoint returning 403
BACKLOG.4,Multi-Segment Trip Tests,ONEK-154,https://linear.app/designthru-ai/issue/ONEK-154,,,3,Backlog,QA Team,No,,Backlog,0%,Integration tests for multi-segment trips
BACKLOG.5,FlightSearchAgent Multi-Segment,ONEK-153,https://linear.app/designthru-ai/issue/ONEK-153,,,3,Backlog,Backend Team,No,,Backlog,0%,Update FlightSearchAgent for multi-segment trips
